latitudes,longitudes,Year,Month,Day,Time,hum_1,hum_2,hum_3,hum_4,hum_5,hum_6,hum_7,hum_8,hum_9,hum_10,hum_11,hum_12,hum_13,hum_14,hum_15,hum_16,hum_17,hum_18,hum_19,hum_20,hum_21,hum_22,hum_23,hum_24,hum_25,hum_26,hum_27,hum_28,hum_29,hum_30
-70.22,-0.37,2022,1,1,20.29,79.2062,84.4537,84.579,84.1092,66.2744,48.9467,40.7588,19.9487,8.6695,2.1002,0.8255,0.5078,0.4231,0.3481,0.3025,0.2828,0.2639,0.2341,0.194,0.1663,0.1315,0.1115,0.1031,0.0922,0.0783,0.0575,0.0419,0.0351,0.0288,0.0229
-58.31,165.94,2022,1,1,20.33,87.4218,78.16,86.8242,83.9443,47.3541,7.7019,15.0482,17.9516,19.2139,21.9935,9.6622,5.7554,3.2748,2.0352,1.3814,0.9263,0.6631,0.5511,0.4552,0.3476,0.2408,0.222,0.1746,0.1322,0.1104,0.0863,0.0644,0.0525,0.0405,0.0298
53.64,-110.17,2022,1,1,20.35,85.8027,76.6753,49.6465,49.2329,58.4665,41.644,53.7518,55.0734,37.593,26.2879,37.3597,27.0328,5.346,2.6512,2.3788,2.275,1.8267,1.3839,1.2071,1.2499,1.4319,1.2415,1.2746,1.0829,0.9161,0.9145,0.8947,0.9011,0.826,0.6675
64.10,19.70,2022,1,1,20.37,39.1919,21.7598,17.6252,24.7131,74.5273,85.2463,75.0295,64.9661,54.1595,45.2615,40.5583,42.5595,30.5295,9.2476,8.5255,6.5112,6.131,5.8347,4.4889,3.9336,3.7131,3.7512,3.4862,3.346,2.9045,2.2208,1.546,1.1035,0.7234,0.4418
70.90,36.95,2022,1,1,20.39,63.6965,63.2342,20.1002,13.5058,39.9897,51.6112,47.1218,39.8022,31.3427,18.9841,11.3571,6.8753,5.7719,5.175,5.1631,5.6139,6.0608,6.8855,6.8558,8.0459,8.2019,7.9166,9.3468,8.3043,7.687,7.3514,6.2786,5.0054,3.8155,2.4441
-37.91,27.96,2022,1,1,20.42,65.0507,49.846,38.3723,35.1595,41.329,25.5942,26.557,33.8402,35.7535,46.3906,48.2219,20.4902,4.3514,2.4562,2.2523,1.9396,2.5807,2.6111,2.2177,1.3106,1.235,0.9161,0.6223,0.475,0.3639,0.2663,0.1763,0.131,0.105,0.0844
44.29,-148.26,2022,1,1,20.43,66.2638,31.9639,4.1261,2.5637,-4.7708,-0.5813,15.2511,13.88,9.5729,18.9335,10.2579,2.411,1.4607,1.1987,1.104,1.1859,1.0926,1.2938,1.2508,0.8959,0.9228,0.8417,0.7004,0.5553,0.3743,0.2756,0.2447,0.2461,0.2341,0.2091
-68.62,111.18,2022,1,1,20.44,NAN,54.5934,55.7655,79.7362,77.0919,60.3959,35.5962,44.8833,19.2754,8.2809,6.4959,4.1146,2.0788,1.4826,0.9005,0.5289,0.3485,0.2266,0.1421,0.1051,0.0946,0.089,0.0826,0.056,0.0392,0.0263,0.0165,0.0134,0.0132,0.0111
-29.64,44.79,2022,1,1,20.46,65.5359,37.2029,50.0388,32.43,39.2969,25.2044,3.2459,2.8128,8.7231,8.5784,14.2527,16.2974,14.214,12.214,10.0882,8.9163,11.4123,15.7811,8.5597,3.3584,1.9655,1.4428,1.1512,0.7533,0.561,0.3791,0.2237,0.1616,0.1371,0.1043
67.91,-69.00,2022,1,1,20.47,82.7957,73.5705,19.1122,33.259,48.1533,67.8734,56.0099,61.279,77.0043,31.2818,19.1283,12.5133,8.5383,7.7566,8.7964,8.9985,9.7661,9.8723,12.6668,14.7311,18.0314,23.9861,25.8368,30.5423,30.6186,24.5939,19.2063,15.1362,13.0594,10.9386
-26.69,14.51,2022,1,1,20.48,67.677,14.0973,3.9839,4.1763,6.3759,12.0296,12.9686,17.3804,26.442,33.6876,32.5983,29.8604,19.6381,8.3917,10.7072,13.4914,13.4753,10.693,9.6543,4.717,2.3549,1.5328,1.1048,0.6944,0.5359,0.431,0.302,0.2102,0.1359,0.0773
-74.30,23.99,2022,1,1,20.53,NAN,NAN,NAN,69.9183,77.5721,71.433,64.8961,54.1061,58.0594,47.643,7.75,1.7288,1.0907,0.708,0.6841,0.5409,0.4669,0.3578,0.2395,0.1984,0.1617,0.132,0.1056,0.086,0.0676,0.0551,0.0429,0.034,0.0274,0.0199
19.57,-161.33,2022,1,1,20.55,76.1421,71.3479,64.9573,54.0806,32.6632,57.0509,22.4766,15.9426,7.0753,2.1581,0.4421,0.8423,1.8916,3.5912,7.8634,12.4189,22.2776,24.8798,13.2,8.7461,5.6948,3.0933,1.4986,0.9335,0.6137,0.3748,0.1853,0.1481,0.1736,0.1985
-54.79,-10.73,2022,1,1,20.57,86.1988,71.3925,77.388,59.7126,24.0275,17.2211,23.4865,28.8025,44.9035,12.2878,2.2663,0.9874,0.7778,0.7026,0.6345,0.4757,0.3978,0.4348,0.3604,0.3561,0.2879,0.2478,0.2197,0.1826,0.1498,0.1193,0.0921,0.0741,0.0551,0.0363
-5.13,3.00,2022,1,1,20.6,78.7913,63.9801,58.2416,54.4609,56.4893,29.8891,13.4421,8.2462,9.1593,6.8932,8.0041,8.5305,17.2419,25.3301,35.7066,39.9893,40.846,36.0383,29.9655,22.4422,5.7603,2.881,1.7487,1.1639,0.8655,0.4881,0.2754,0.1744,0.104,0.063
7.59,-147.35,2022,1,1,20.61,81.0768,78.9892,74.8625,70.6692,69.9714,80.5644,72.6446,61.0515,49.4075,26.6916,16.3929,20.9017,28.7374,22.4621,21.9709,31.8589,34.4688,24.5646,8.8769,3.7663,3.0897,3.4642,2.6879,1.5005,0.8642,0.5371,0.2609,0.1354,0.0814,0.0562
62.03,-163.02,2022,1,1,20.63,50.0101,19.5269,17.2524,4.3376,-4.5125,-3.5367,19.2253,0.2169,6.4,4.5365,4.0725,1.7641,1.0296,0.9236,0.6616,0.5502,0.4799,0.4535,0.3861,0.406,0.3448,0.3492,0.3277,0.291,0.2719,0.2451,0.2095,0.1751,0.1401,0.1107
55.12,-148.84,2022,1,1,20.65,68.2151,85.6469,25.0391,29.7137,37.7211,1.3754,-10.1182,8.7229,2.9435,1.3036,0.4869,0.6783,0.5355,0.5436,0.463,0.4691,0.5397,0.4869,0.3739,0.407,0.3081,0.3173,0.3255,0.3081,0.3225,0.2651,0.2063,0.1901,0.1771,0.1552
-47.84,18.39,2022,1,1,20.66,78.5262,70.6734,31.7899,-4.3035,13.4057,20.3453,16.3622,22.6635,33.0182,13.5749,5.402,2.0418,1.1868,0.8899,0.6961,0.6608,0.6373,0.5708,0.5696,0.5244,0.4339,0.4006,0.3771,0.2973,0.2373,0.163,0.0986,0.0691,0.0537,0.0421
-44.58,31.14,2022,1,1,20.66,54.7079,23.0832,46.4382,72.687,50.601,45.0652,56.4535,70.5108,69.4212,14.9701,3.2051,2.3116,1.1331,1.0658,1.0198,1.0134,1.2654,1.4083,1.1162,0.909,0.6903,0.5576,0.4716,0.4011,0.2549,0.1591,0.1154,0.0997,0.0807,0.058
-6.35,175.86,2022,1,1,20.7,84.6342,77.3161,71.806,78.8287,83.1052,80.4976,75.5046,69.2488,62.2471,67.2263,62.4299,57.5137,53.8026,49.9746,49.8819,49.3334,54.1088,31.7453,14.9486,8.7282,6.242,4.5517,3.0622,1.4738,0.7321,0.4493,0.2773,0.1549,0.0776,0.0447
29.32,170.58,2022,1,1,20.73,76.3045,76.3223,62.2404,30.7732,7.4608,3.3445,1.4985,5.5175,7.6961,1.7004,1.9655,1.0415,1.1652,2.1079,4.0704,6.6865,8.0401,9.1563,17.5808,6.5156,2.5592,2.4058,2.0226,1.1426,0.6907,0.4578,0.3063,0.2361,0.1889,0.1491
19.44,-142.30,2022,1,1,20.75,75.1159,88.6076,75.6462,78.0774,74.9059,38.2635,57.9464,36.7861,34.9414,51.4041,54.8222,50.4687,48.439,38.0019,6.6392,4.5263,5.81,6.5124,5.1992,3.7964,2.3804,1.8194,1.3145,0.8427,0.5663,0.414,0.3243,0.2518,0.1748,0.113
-12.32,-7.02,2022,1,1,20.8,75.4886,19.4334,7.7659,23.986,30.3998,7.1716,7.2245,4.4354,9.9943,13.811,18.7609,25.0757,29.653,24.3578,25.7917,31.5871,40.4601,33.044,19.5046,7.9748,4.8173,2.2798,1.6963,1.2137,0.7571,0.3767,0.2754,0.2421,0.1509,0.0823
-25.08,166.37,2022,1,1,20.81,72.2059,62.5576,44.3057,10.5466,2.1801,32.485,73.1946,75.0204,73.5599,60.0625,53.0791,50.8675,28.32,28.8395,39.8545,45.3208,32.2266,21.6758,18.5089,10.7346,4.8999,2.4688,1.826,1.0221,0.5481,0.3839,0.2694,0.1688,0.1354,0.1209
-5.48,26.69,2022,1,1,20.82,60.1674,65.4642,65.0348,70.6673,50.2305,45.4605,61.5282,51.4019,58.8649,54.277,52.865,49.5183,44.1644,35.9034,23.368,30.0372,39.8096,73.3277,35.0349,13.1154,6.0244,2.9801,1.6927,1.208,0.6418,0.343,0.2221,0.1754,0.1336,0.092
52.42,-7.45,2022,1,1,20.86,77.2321,51.2423,63.4668,45.2156,65.0342,63.636,48.8364,57.6692,18.7181,10.4816,7.0287,4.953,2.971,2.329,1.9048,2.0867,2.1711,2.4199,2.4698,2.2037,2.043,1.9946,1.7703,1.4304,1.0312,0.7266,0.4917,0.2904,0.1729,0.0879
